Date,Strategy,Ticker,Weight
2023-05-01,Minimum Variance,JPM,0.0
2023-05-01,Minimum Variance,JNJ,0.411347
2023-05-01,Minimum Variance,PG,0.266372
2023-05-01,Minimum Variance,XOM,0.054486
2023-05-01,Minimum Variance,CAT,0.0
2023-05-01,Minimum Variance,AMZN,0.087823
2023-05-01,Minimum Variance,BRK-B,0.149887
2023-05-01,Minimum Variance,LLY,0.026936
2023-05-01,Minimum Variance,NEE,0.00315
2023-06-01,Minimum Variance,AAPL,0.0
2023-06-01,Minimum Variance,MSFT,0.0
2023-06-01,Minimum Variance,GOOGL,0.0
2023-06-01,Minimum Variance,JPM,0.0
2023-06-01,Minimum Variance,JNJ,0.411354
2023-06-01,Minimum Variance,PG,0.263119
2023-06-01,Minimum Variance,XOM,0.05295
2023-06-01,Minimum Variance,CAT,0.0
2023-06-01,Minimum Variance,AMZN,0.087418
2023-06-01,Minimum Variance,BRK-B,0.152291
2023-06-01,Minimum Variance,LLY,0.028901
2023-06-01,Minimum Variance,NEE,0.003967
2023-07-03,Minimum Variance,AAPL,0.0
2023-07-03,Minimum Variance,MSFT,0.0
2023-07-03,Minimum Variance,GOOGL,0.0
2023-07-03,Minimum Variance,JPM,0.0
2023-07-03,Minimum Variance,JNJ,0.411839
2023-07-03,Minimum Variance,PG,0.261483
2023-07-03,Minimum Variance,XOM,0.053417
2023-07-03,Minimum Variance,CAT,0.0
2023-07-03,Minimum Variance,AMZN,0.086291
2023-07-03,Minimum Variance,BRK-B,0.153444
2023-07-03,Minimum Variance,LLY,0.028232
2023-07-03,Minimum Variance,NEE,0.005295
2023-08-01,Minimum Variance,AAPL,0.0
2023-08-01,Minimum Variance,MSFT,0.0
2023-08-01,Minimum Variance,GOOGL,0.0
2023-08-01,Minimum Variance,JPM,0.0
2023-08-01,Minimum Variance,JNJ,0.393721
2023-08-01,Minimum Variance,PG,0.266846
2023-08-01,Minimum Variance,XOM,0.053804
2023-08-01,Minimum Variance,CAT,0.0
2023-08-01,Minimum Variance,AMZN,0.089266
2023-08-01,Minimum Variance,BRK-B,0.16212
2023-08-01,Minimum Variance,LLY,0.030213
2023-08-01,Minimum Variance,NEE,0.004031
2023-09-01,Minimum Variance,AAPL,0.0
2023-09-01,Minimum Variance,MSFT,0.0
2023-09-01,Minimum Variance,GOOGL,0.0
